"tempSet","timestamp","tempActual","outlier"
56.0,10/27/17 5:03 AM,55.182,"false"
56.0,10/27/17 5:03 AM,55.2573,"false"
56.0,10/27/17 5:03 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.29,"false"
56.0,10/27/17 5:04 AM,55.301,"false"
56.0,10/27/17 5:04 AM,55.378,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:05 AM,55.4,"false"
56.0,10/27/17 5:06 AM,55.477,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:06 AM,55.51,"false"
56.0,10/27/17 5:07 AM,55.51,"false"
56.0,10/27/17 5:07 AM,55.5536,"false"
56.0,10/27/17 5:07 AM,55.63,"false"
56.0,10/27/17 5:07 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.63,"false"
56.0,10/27/17 5:08 AM,55.67,"false"
56.0,10/27/17 5:08 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:09 AM,55.74,"false"
56.0,10/27/17 5:10 AM,55.74,"false"
53.0,10/27/17 5:10 AM,55.839,"false"
53.0,10/27/17 5:10 AM,55.85,"false"
53.0,10/27/17 5:10 AM,55.85,"false"
53.0,10/27/17 5:11 AM,55.762,"false"
53.0,10/27/17 5:11 AM,55.63,"false"
53.0,10/27/17 5:11 AM,55.455,"false"
53.0,10/27/17 5:11 AM,55.0309,"false"
53.0,10/27/17 5:12 AM,54.533,"false"
53.0,10/27/17 5:12 AM,53.982,"false"
53.0,10/27/17 5:12 AM,53.1491,"false"
53.0,10/27/17 5:12 AM,52.44,"false"
53.0,10/27/17 5:13 AM,51.8936,"false"
53.0,10/27/17 5:13 AM,51.394,"false"
53.0,10/27/17 5:13 AM,50.98,"false"
53.0,10/27/17 5:13 AM,50.8,"false"
53.0,10/27/17 5:14 AM,51.002,"false"
53.0,10/27/17 5:14 AM,51.39,"false"
53.0,10/27/17 5:14 AM,51.811,"false"
53.0,10/27/17 5:14 AM,52.173,"false"
53.0,10/27/17 5:15 AM,52.5355,"false"
53.0,10/27/17 5:15 AM,52.8818,"false"
53.0,10/27/17 5:15 AM,53.1362,"false"
53.0,10/27/17 5:15 AM,53.3777,"false"
53.0,10/27/17 5:16 AM,53.57,"false"
53.0,10/27/17 5:16 AM,53.721,"false"
53.0,10/27/17 5:16 AM,53.82,"false"
53.0,10/27/17 5:16 AM,53.94,"false"
53.0,10/27/17 5:17 AM,53.856,"false"
53.0,10/27/17 5:17 AM,53.74,"false"
53.0,10/27/17 5:17 AM,53.589,"false"
53.0,10/27/17 5:17 AM,53.2745,"false"
