"tempSet";"tempActual";"timestamp"
54.0;54.61;10/26/17 4:55 AM
54.0;54.665;10/26/17 4:55 AM
54.0;54.72;10/26/17 4:56 AM
54.0;54.72;10/26/17 4:56 AM
54.0;54.72;10/26/17 4:56 AM
54.0;54.643;10/26/17 4:56 AM
54.0;54.5;10/26/17 4:57 AM
54.0;54.2564;10/26/17 4:57 AM
54.0;53.937;10/26/17 4:57 AM
54.0;53.5;10/26/17 4:57 AM
54.0;53.048;10/26/17 4:58 AM
54.0;52.74;10/26/17 4:58 AM
54.0;52.438;10/26/17 4:58 AM
54.0;52.305;10/26/17 4:58 AM
54.0;52.25;10/26/17 4:59 AM
54.0;52.272;10/26/17 4:59 AM
54.0;52.404;10/26/17 4:59 AM
54.0;52.7;10/26/17 4:59 AM
54.0;52.9955;10/26/17 5:00 AM
54.0;53.228;10/26/17 5:00 AM
54.0;53.457;10/26/17 5:00 AM
54.0;53.66;10/26/17 5:00 AM
54.0;53.844;10/26/17 5:01 AM
54.0;53.99;10/26/17 5:01 AM
54.0;54.149;10/26/17 5:01 AM
54.0;54.2145;10/26/17 5:01 AM
54.0;54.313;10/26/17 5:02 AM
54.0;54.39;10/26/17 5:02 AM
54.0;54.401;10/26/17 5:02 AM
54.0;54.5;10/26/17 5:02 AM
54.0;54.5;10/26/17 5:03 AM
54.0;54.588;10/26/17 5:03 AM
54.0;54.61;10/26/17 5:03 AM
54.0;54.61;10/26/17 5:03 AM
54.0;54.654;10/26/17 5:04 AM
54.0;54.72;10/26/17 5:04 AM
54.0;54.72;10/26/17 5:04 AM
54.0;54.65;10/26/17 5:04 AM
54.0;54.511;10/26/17 5:05 AM
54.0;54.3882;10/26/17 5:05 AM
54.0;53.982;10/26/17 5:05 AM
54.0;53.72;10/26/17 5:05 AM
54.0;53.365;10/26/17 5:06 AM
54.0;52.845;10/26/17 5:06 AM
54.0;52.623;10/26/17 5:06 AM
54.0;52.4609;10/26/17 5:06 AM
54.0;52.36;10/26/17 5:07 AM
54.0;52.305;10/26/17 5:07 AM
54.0;52.349;10/26/17 5:07 AM
54.0;52.4409;10/26/17 5:07 AM
54.0;52.7;10/26/17 5:08 AM
54.0;52.957;10/26/17 5:08 AM
54.0;53.2627;10/26/17 5:08 AM
54.0;53.567;10/26/17 5:08 AM
54.0;53.787;10/26/17 5:09 AM
54.0;53.9491;10/26/17 5:09 AM
54.0;54.072;10/26/17 5:09 AM
54.0;54.1818;10/26/17 5:09 AM
54.0;54.28;10/26/17 5:10 AM
54.0;54.368;10/26/17 5:10 AM
54.0;54.4;10/26/17 5:10 AM
54.0;54.434;10/26/17 5:10 AM
54.0;54.5;10/26/17 5:11 AM
54.0;54.522;10/26/17 5:11 AM
54.0;54.6;10/26/17 5:11 AM
54.0;54.61;10/26/17 5:11 AM
54.0;54.632;10/26/17 5:12 AM
54.0;54.72;10/26/17 5:12 AM
54.0;54.72;10/26/17 5:12 AM
54.0;54.72;10/26/17 5:12 AM
54.0;54.621;10/26/17 5:13 AM
